,adr,ame_d,count_accidents
480,RUE DES FONTAINES DU TEMPLE,AUCUN,1
481,RUE DES FRANCS BOURGEOIS,AUCUN,1
482,RUE DES MORILLONS,AUCUN,3
483,RUE DES ORTEAUX,AUCUN,1
484,RUE DES PETITES ECURIES,AUCUN,1
485,RUE DES PLANTES,MOINS SECURISEE,1
486,RUE DES POISSONNIERS,MOINS SECURISEE,2
487,RUE DES PYRENEES,MOINS SECURISEE,6
488,RUE DES TERRES AU CURE,AUCUN,2
489,RUE DES TROIS BORNES,AUCUN,2
490,RUE DES VINAIGRIERS,AUCUN,1
491,RUE DOUDEAUVILLE,AUCUN,1
